epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.23919,1.40443,2.25004,1.60918,0.61652,0.53627,0.55861,0.25876,1.63299,1.95644,2.06892,0.000547118,0.000547118,0.000547118
2,15.5758,1.36625,1.63983,1.5164,0.49001,0.52416,0.52542,0.21323,1.83544,2.02237,2.69745,0.00108095,0.00108095,0.00108095
3,21.8295,1.38222,1.59151,1.51497,0.68823,0.55307,0.63302,0.31551,1.64144,1.85373,2.26393,0.00159278,0.00159278,0.00159278
4,28.1682,1.39742,1.49794,1.5562,0.57799,0.71299,0.65487,0.34639,1.49492,1.49543,1.76957,0.00156798,0.00156798,0.00156798
5,34.3225,1.3743,1.37613,1.51247,0.61235,0.65696,0.67442,0.32655,1.70378,1.45435,1.95612,0.00153497,0.00153497,0.00153497
6,40.6516,1.34073,1.31307,1.4983,0.67916,0.7135,0.74111,0.40609,1.51136,1.35148,1.80515,0.00150197,0.00150197,0.00150197
7,46.7832,1.34622,1.29883,1.49486,0.68059,0.62917,0.71138,0.39561,1.47042,1.43116,1.76842,0.00146896,0.00146896,0.00146896
8,53.1689,1.31173,1.27977,1.48322,0.75229,0.67214,0.7696,0.43546,1.41538,1.35419,1.66791,0.00143595,0.00143595,0.00143595
9,59.2921,1.28288,1.15906,1.46806,0.80806,0.72097,0.80376,0.44614,1.50233,1.18698,1.77493,0.00140295,0.00140295,0.00140295
10,65.6768,1.27084,1.15269,1.45095,0.77095,0.77098,0.7981,0.46207,1.34011,1.14431,1.65053,0.00136994,0.00136994,0.00136994
11,71.9327,1.27338,1.15267,1.4582,0.80421,0.74909,0.83644,0.48581,1.40235,1.06939,1.67243,0.00133693,0.00133693,0.00133693
12,78.3316,1.27712,1.12579,1.4335,0.79335,0.76535,0.84333,0.4942,1.32686,0.98548,1.60695,0.00130393,0.00130393,0.00130393
13,84.5392,1.26091,1.08756,1.41306,0.77864,0.77219,0.84956,0.51911,1.28473,0.95394,1.58478,0.00127092,0.00127092,0.00127092
14,90.8564,1.22134,1.04665,1.40709,0.74008,0.74932,0.81527,0.48406,1.31517,1.07302,1.61317,0.00123791,0.00123791,0.00123791
15,97.0906,1.22695,1.02618,1.41049,0.81802,0.76696,0.84939,0.51508,1.3474,0.97472,1.60543,0.00120491,0.00120491,0.00120491
16,103.376,1.24995,1.04852,1.41474,0.82777,0.75486,0.85417,0.53672,1.25862,0.93843,1.53299,0.0011719,0.0011719,0.0011719
17,109.714,1.23481,1.00323,1.40869,0.63126,0.66672,0.69938,0.41866,1.29078,1.30454,1.58173,0.00113889,0.00113889,0.00113889
18,115.953,1.17806,0.99501,1.38754,0.80879,0.75299,0.8235,0.45469,1.40643,1.04683,1.69981,0.00110589,0.00110589,0.00110589
19,122.273,1.18243,0.9873,1.38498,0.73383,0.62959,0.7308,0.43887,1.38581,1.13441,1.66905,0.00107288,0.00107288,0.00107288
20,128.487,1.20743,0.99781,1.38234,0.74433,0.77846,0.80025,0.47052,1.373,0.9844,1.61745,0.00103987,0.00103987,0.00103987
21,134.805,1.18139,0.96652,1.37742,0.80353,0.77219,0.83227,0.49867,1.30882,0.94884,1.56626,0.00100687,0.00100687,0.00100687
22,141.078,1.18089,0.94526,1.37122,0.78815,0.81107,0.85159,0.53184,1.26061,0.90843,1.51436,0.000973861,0.000973861,0.000973861
23,147.48,1.16161,0.95292,1.37219,0.82709,0.80242,0.8563,0.54266,1.2246,0.89337,1.49572,0.000940855,0.000940855,0.000940855
24,153.946,1.17862,0.94648,1.37235,0.85436,0.72347,0.85452,0.53944,1.24523,0.92348,1.5168,0.000907848,0.000907848,0.000907848
25,160.402,1.15955,0.9358,1.35829,0.7667,0.79926,0.85104,0.55493,1.2328,0.85921,1.49351,0.000874842,0.000874842,0.000874842
26,166.843,1.16417,0.91293,1.37193,0.75929,0.83498,0.86456,0.55171,1.22426,0.83945,1.51329,0.000841835,0.000841835,0.000841835
27,173.4,1.16188,0.93138,1.35618,0.81841,0.76498,0.85577,0.52266,1.3122,0.91871,1.56539,0.000808828,0.000808828,0.000808828
28,179.973,1.12685,0.88177,1.35337,0.79527,0.77229,0.83446,0.53376,1.22753,0.91645,1.49319,0.000775822,0.000775822,0.000775822
29,186.52,1.10162,0.89352,1.32866,0.77187,0.8158,0.87262,0.56695,1.18296,0.84027,1.45971,0.000742815,0.000742815,0.000742815
30,192.898,1.1174,0.88269,1.32863,0.83583,0.76778,0.85231,0.54901,1.22722,0.85129,1.49629,0.000709809,0.000709809,0.000709809
31,199.465,1.12761,0.87094,1.32815,0.75411,0.83062,0.84251,0.53708,1.22176,0.86419,1.48891,0.000676802,0.000676802,0.000676802
32,206.012,1.09642,0.84581,1.32136,0.79426,0.78919,0.85208,0.54375,1.21057,0.90008,1.4986,0.000643795,0.000643795,0.000643795
33,213.029,1.08714,0.8724,1.32935,0.82609,0.76026,0.86454,0.56465,1.16713,0.8217,1.47134,0.000610789,0.000610789,0.000610789
34,219.283,1.07823,0.85385,1.31008,0.79079,0.79275,0.85534,0.56132,1.1909,0.85144,1.48123,0.000577782,0.000577782,0.000577782
35,226.073,1.08486,0.8248,1.31501,0.78179,0.80123,0.85753,0.54624,1.22234,0.85413,1.48571,0.000544776,0.000544776,0.000544776
36,232.6,1.10566,0.83108,1.32005,0.80609,0.79549,0.85405,0.55847,1.21985,0.84713,1.48861,0.000511769,0.000511769,0.000511769
37,239.241,1.07259,0.82569,1.29512,0.80331,0.80993,0.86803,0.56629,1.22062,0.80665,1.50449,0.000478762,0.000478762,0.000478762
38,245.48,1.07317,0.78639,1.30566,0.81873,0.81227,0.8715,0.56833,1.18531,0.80121,1.4653,0.000445756,0.000445756,0.000445756
39,251.932,1.08943,0.81114,1.30413,0.80782,0.82181,0.86876,0.56617,1.19657,0.79265,1.47143,0.000412749,0.000412749,0.000412749
40,258.163,1.05344,0.81005,1.28461,0.82306,0.78142,0.85711,0.5599,1.20834,0.82571,1.47903,0.000379743,0.000379743,0.000379743
41,279.618,0.96244,0.73227,1.29263,0.80079,0.78716,0.86246,0.56989,1.136,0.83105,1.42657,0.000346736,0.000346736,0.000346736
42,285.992,0.95575,0.6788,1.27403,0.78786,0.82535,0.86409,0.57123,1.15794,0.7885,1.45055,0.000313729,0.000313729,0.000313729
43,292.296,0.9472,0.68769,1.26836,0.81251,0.83647,0.8666,0.57016,1.18093,0.775,1.47032,0.000280723,0.000280723,0.000280723
44,298.588,0.9271,0.67731,1.27768,0.79591,0.8419,0.8752,0.58378,1.16894,0.78751,1.44894,0.000247716,0.000247716,0.000247716
45,304.885,0.93007,0.65202,1.25256,0.83721,0.78091,0.87232,0.57332,1.15788,0.82008,1.45216,0.00021471,0.00021471,0.00021471
